x,y,dyabove,dybelow
1.3155045908179912, 0.024703930172960808, 0.04810362617093709, 0.010610077099930094
2.3613267470243104, 0.08105581010258463, 0.1277673529395351, 0.04442297911565283
4.200007435759852, 0.30783666809116, 0.41921614191219336, 0.21881901342398138
7.470403019263498, 0.07872122487633142, 0.15081508532037424, 0.03272769147237405
13.287338683038486, 0.16121028580692245, 0, 0
23.633714114553516, 0.27163627767962695, 0.464451381744821, 0.14178648279356654
42.036442072591086, 0.39541521964335735, 0.6760921136715431, 0.1997993658169985
75.45528590974028, 0.5221284564961334, 0, 0
132.98844142341247, 1.8281344492542844, 2.6139799385924194, 1.141073349895251
236.5417846354051, 3.130847965393109, 4.4766804627847865, 2.0517883847834315
